holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,time,month,year,day
True,284.3,7.02,0.0,90,Rain,heavy intensity rain,2014-05-19 14:00:00,4922,14,5,2014,Monday
True,286.623,0.0,0.0,32,Rain,moderate rain,2016-10-17 20:00:00,2322,20,10,2016,Monday
True,271.29,0.0,0.0,64,Clouds,broken clouds,2013-11-06 07:00:00,6621,7,11,2013,Wednesday
True,297.57,1.78,0.0,5,Rain,moderate rain,2018-08-26 22:00:00,1913,22,8,2018,Sunday
True,253.02,0.0,0.0,90,Clouds,overcast clouds,2018-01-14 07:00:00,1296,7,1,2018,Sunday
True,290.56,0.0,0.0,0,Clear,Sky is Clear,2016-09-21 03:00:00,335,3,9,2016,Wednesday
True,275.65,0.0,0.0,90,Drizzle,drizzle,2015-12-16 14:00:00,5214,14,12,2015,Wednesday
True,265.62,0.0,0.0,40,Snow,light snow,2016-12-07 10:00:00,4633,10,12,2016,Wednesday
True,290.65,0.0,0.0,90,Clouds,overcast clouds,2018-07-26 11:00:00,4654,11,7,2018,Thursday
True,263.62,0.0,0.0,64,Snow,light snow,2013-12-26 03:00:00,308,3,12,2013,Thursday
True,272.65,0.0,0.0,90,Clouds,overcast clouds,2017-10-31 00:00:00,544,0,10,2017,Tuesday
True,273.62,0.0,0.0,54,Clouds,broken clouds,2012-12-09 13:00:00,1686,13,12,2012,Sunday
True,303.29,0.0,0.0,40,Thunderstorm,proximity thunderstorm,2017-08-01 16:00:00,6651,16,8,2017,Tuesday
True,267.23,0.0,0.0,90,Mist,mist,2013-02-23 09:00:00,3524,9,2,2013,Saturday
True,293.0,0.0,0.0,1,Clear,sky is clear,2015-10-10 19:00:00,2579,19,10,2015,Saturday
True,272.42,0.0,0.0,20,Clouds,few clouds,2016-12-28 11:00:00,4578,11,12,2016,Wednesday
True,277.93,0.0,0.0,90,Rain,moderate rain,2013-04-09 02:00:00,268,2,4,2013,Tuesday
True,263.07,0.0,0.0,40,Clouds,scattered clouds,2013-01-13 11:00:00,3498,11,1,2013,Sunday
True,282.18,0.0,0.0,32,Clouds,scattered clouds,2016-09-27 05:00:00,2823,5,9,2016,Tuesday
True,273.86,0.0,0.0,90,Snow,light snow,2017-01-31 05:00:00,2786,5,1,2017,Tuesday
True,294.04,0.25,0.0,40,Rain,light rain,2018-08-29 18:00:00,4554,18,8,2018,Wednesday
True,288.15,0.0,0.0,75,Clouds,broken clouds,2016-06-02 00:00:00,664,0,6,2016,Thursday
True,280.35,0.0,0.0,1,Clear,sky is clear,2017-05-03 02:00:00,346,2,5,2017,Wednesday
True,285.83,0.0,0.0,1,Mist,mist,2018-05-06 01:00:00,784,1,5,2018,Sunday
True,274.29,0.0,0.0,90,Clouds,overcast clouds,2018-01-19 11:00:00,4936,11,1,2018,Friday
True,289.97,0.0,0.0,40,Clouds,scattered clouds,2015-09-10 19:00:00,3687,19,9,2015,Thursday
True,292.82,0.0,0.0,1,Clear,sky is clear,2015-09-21 23:00:00,941,23,9,2015,Monday
True,304.28,0.0,0.0,1,Clear,sky is clear,2018-08-08 16:00:00,6652,16,8,2018,Wednesday
True,270.76,0.0,0.0,90,Clouds,overcast clouds,2013-03-25 01:00:00,373,1,3,2013,Monday
True,279.22,0.0,0.0,1,Clear,sky is clear,2017-10-14 05:00:00,762,5,10,2017,Saturday
True,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271,17,10,2012,Sunday
True,285.65,0.0,0.0,1,Clear,sky is clear,2015-11-01 15:00:00,4365,15,11,2015,Sunday
True,281.85,0.0,0.0,1,Clear,sky is clear,2016-05-02 00:00:00,171,0,5,2016,Monday
True,274.97,0.0,0.0,90,Clouds,overcast clouds,2013-04-16 11:00:00,4764,11,4,2013,Tuesday
True,290.11,0.0,0.0,1,Clear,sky is clear,2015-08-28 04:00:00,858,4,8,2015,Friday
True,288.42,0.0,0.0,1,Clear,sky is clear,2018-05-17 05:00:00,2935,5,5,2018,Thursday
True,291.91,0.0,0.0,12,Clouds,few clouds,2013-07-29 13:00:00,5031,13,7,2013,Monday
True,270.36,0.0,0.0,90,Haze,haze,2018-02-24 14:00:00,4831,14,2,2018,Saturday
True,252.13,0.0,0.0,99,Clouds,overcast clouds,2013-02-01 10:00:00,4461,10,2,2013,Friday
True,289.81,0.0,0.0,75,Clouds,broken clouds,2016-09-09 23:00:00,1739,23,9,2016,Friday
True,294.21,0.51,0.0,75,Rain,light rain,2016-05-31 15:00:00,5869,15,5,2016,Tuesday
True,301.46,0.0,0.0,75,Clouds,broken clouds,2017-09-23 13:00:00,4816,13,9,2017,Saturday
True,292.69,0.0,0.0,75,Clouds,broken clouds,2017-06-23 20:00:00,3441,20,6,2017,Friday
True,296.19,0.0,0.0,40,Clouds,scattered clouds,2013-08-15 12:00:00,5532,12,8,2013,Thursday
True,274.73,0.64,0.0,90,Rain,moderate rain,2015-12-23 08:00:00,4619,8,12,2015,Wednesday
True,276.08,0.0,0.0,90,Drizzle,light intensity drizzle,2018-04-13 17:00:00,5687,17,4,2018,Friday
True,276.61,0.0,0.0,90,Drizzle,drizzle,2017-05-01 18:00:00,4386,18,5,2017,Monday
True,257.29,0.0,0.0,90,Mist,mist,2016-12-16 00:00:00,651,0,12,2016,Friday
True,291.16,0.0,0.0,40,Clouds,scattered clouds,2017-05-13 00:00:00,2261,0,5,2017,Saturday
True,279.07,0.0,0.0,90,Clouds,overcast clouds,2014-04-24 22:00:00,1968,22,4,2014,Thursday
True,296.04,2.1,0.0,90,Rain,moderate rain,2015-09-17 05:00:00,2903,5,9,2015,Thursday
True,276.9,0.0,0.0,90,Clouds,overcast clouds,2017-04-05 07:00:00,6828,7,4,2017,Wednesday
True,287.65,0.0,0.0,90,Clouds,overcast clouds,2018-06-03 09:00:00,3350,9,6,2018,Sunday
True,283.6,0.0,0.0,20,Clouds,few clouds,2018-09-23 07:00:00,1402,7,9,2018,Sunday
True,287.61,0.0,0.0,75,Clouds,broken clouds,2017-11-27 14:00:00,4997,14,11,2017,Monday
True,260.5,0.0,0.0,75,Clouds,broken clouds,2012-12-24 07:00:00,2440,7,12,2012,Monday
True,290.46,0.0,0.0,1,Clear,sky is clear,2018-07-25 06:00:00,5926,6,7,2018,Wednesday
True,282.057,0.0,0.0,20,Clouds,few clouds,2016-10-12 17:00:00,5762,17,10,2016,Wednesday
True,272.9,0.0,0.0,1,Clear,sky is clear,2017-03-15 17:00:00,6233,17,3,2017,Wednesday
True,296.56,0.0,0.0,1,Clear,sky is clear,2018-08-17 21:00:00,3177,21,8,2018,Friday
True,299.79,0.0,0.0,40,Clouds,scattered clouds,2018-07-29 14:00:00,4435,14,7,2018,Sunday
True,268.95,0.0,0.0,40,Clouds,scattered clouds,2017-02-27 08:00:00,6085,8,2,2017,Monday
True,298.64,0.0,0.0,75,Clouds,broken clouds,2018-07-10 14:00:00,4789,14,7,2018,Tuesday
True,296.63,0.0,0.0,1,Clear,sky is clear,2015-09-21 19:00:00,3458,19,9,2015,Monday
True,299.98,0.0,0.0,40,Clouds,scattered clouds,2014-08-07 18:00:00,5121,18,8,2014,Thursday
True,274.93,0.0,0.0,90,Mist,mist,2016-04-07 09:00:00,5303,9,4,2016,Thursday
True,275.61,0.0,0.0,20,Clouds,few clouds,2014-04-25 01:00:00,473,1,4,2014,Friday
True,295.2,0.0,0.0,90,Mist,mist,2013-05-31 18:00:00,5015,18,5,2013,Friday
True,298.64,0.0,0.0,20,Clouds,few clouds,2018-08-22 13:00:00,4938,13,8,2018,Wednesday
True,287.6,0.81,0.0,90,Rain,moderate rain,2018-09-20 05:00:00,2924,5,9,2018,Thursday
True,261.29,0.0,0.0,64,Clouds,broken clouds,2014-01-20 15:00:00,4614,15,1,2014,Monday
True,273.62,0.0,0.0,40,Clouds,scattered clouds,2017-02-23 11:00:00,4988,11,2,2017,Thursday
True,266.0,0.0,0.0,90,Snow,light snow,2016-02-03 06:00:00,4155,6,2,2016,Wednesday
True,301.22,0.0,0.0,48,Clouds,scattered clouds,2014-07-07 12:00:00,4899,12,7,2014,Monday
True,285.67,0.0,0.0,40,Clouds,scattered clouds,2014-05-04 14:00:00,4290,14,5,2014,Sunday
True,295.04,0.0,0.0,90,Rain,light rain,2013-05-30 16:00:00,6778,16,5,2013,Thursday
True,301.14,0.0,0.0,0,Clear,Sky is Clear,2016-08-16 12:00:00,4646,12,8,2016,Tuesday
True,289.19,0.0,0.0,1,Clear,sky is clear,2015-07-01 02:00:00,347,2,7,2015,Wednesday
True,265.59,0.0,0.0,90,Clouds,overcast clouds,2014-02-15 22:00:00,2412,22,2,2014,Saturday
True,249.35,0.0,0.0,1,Mist,mist,2018-02-06 07:00:00,6067,7,2,2018,Tuesday
True,285.56,0.0,0.0,1,Clear,sky is clear,2013-05-06 23:00:00,1062,23,5,2013,Monday
True,281.75,0.0,0.0,20,Clouds,few clouds,2012-11-10 11:00:00,4338,11,11,2012,Saturday
True,289.72,0.0,0.0,1,Clear,sky is clear,2018-04-23 12:00:00,4739,12,4,2018,Monday
True,299.98,0.0,0.0,75,Clouds,broken clouds,2014-08-06 13:00:00,5312,13,8,2014,Wednesday
True,303.68,0.0,0.0,75,Clouds,broken clouds,2018-06-17 14:00:00,4192,14,6,2018,Sunday
True,293.19,1.27,0.0,90,Rain,moderate rain,2018-08-24 03:00:00,424,3,8,2018,Friday
True,285.55,0.0,0.0,90,Clouds,overcast clouds,2016-05-10 19:00:00,3313,19,5,2016,Tuesday
True,274.15,0.0,0.0,90,Drizzle,drizzle,2016-11-23 08:00:00,4219,8,11,2016,Wednesday
True,280.56,0.0,0.0,90,Thunderstorm,proximity thunderstorm with drizzle,2016-11-18 08:00:00,4954,8,11,2016,Friday
True,257.29,0.0,0.0,75,Haze,haze,2016-12-14 11:00:00,4929,11,12,2016,Wednesday
True,265.57,0.0,0.0,1,Haze,haze,2018-03-07 02:00:00,247,2,3,2018,Wednesday
True,293.91,0.0,0.0,20,Clouds,few clouds,2016-06-11 01:00:00,805,1,6,2016,Saturday
True,287.73,0.0,0.0,40,Clouds,scattered clouds,2015-08-27 01:00:00,411,1,8,2015,Thursday
True,274.59,0.0,0.0,75,Clouds,broken clouds,2015-12-23 00:00:00,743,0,12,2015,Wednesday
True,292.59,0.0,0.0,1,Fog,fog,2015-09-03 05:00:00,3010,5,9,2015,Thursday
True,276.28,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-10 18:00:00,4061,18,4,2017,Monday
True,270.72,0.0,0.0,90,Fog,fog,2018-01-22 18:00:00,1086,18,1,2018,Monday
True,276.793,0.0,0.0,64,Clouds,broken clouds,2014-01-06 21:00:00,1200,21,1,2014,Monday
True,258.09,0.0,0.0,90,Snow,light snow,2017-01-11 05:00:00,2643,5,1,2017,Wednesday
True,279.75,0.0,0.0,90,Rain,light rain,2017-11-15 01:00:00,318,1,11,2017,Wednesday
True,276.793,0.0,0.0,64,Clouds,broken clouds,2014-01-17 19:00:00,3841,19,1,2014,Friday
True,292.43,0.0,0.0,90,Rain,light rain,2013-05-09 18:00:00,4673,18,5,2013,Thursday
True,287.1,0.0,0.0,1,Mist,mist,2014-07-04 06:00:00,1212,6,7,2014,Friday
True,291.56,0.0,0.0,20,Clouds,few clouds,2016-05-02 16:00:00,6020,16,5,2016,Monday
True,299.15,0.0,0.0,1,Clear,sky is clear,2015-07-14 19:00:00,3267,19,7,2015,Tuesday
True,298.92,0.0,0.0,40,Clouds,scattered clouds,2018-06-05 19:00:00,3510,19,6,2018,Tuesday
True,276.65,0.0,0.0,90,Drizzle,drizzle,2017-05-01 17:00:00,5571,17,5,2017,Monday
True,285.85,0.0,0.0,8,Clear,sky is clear,2013-08-14 05:00:00,3022,5,8,2013,Wednesday
True,271.01,0.0,0.0,1,Clear,sky is clear,2018-02-15 08:00:00,5488,8,2,2018,Thursday
True,267.42,0.0,0.0,75,Haze,haze,2017-12-05 04:00:00,853,4,12,2017,Tuesday
True,299.34,0.0,0.0,0,Rain,light rain,2013-08-22 20:00:00,3320,20,8,2013,Thursday
True,284.95,0.47,0.0,68,Rain,moderate rain,2014-05-19 21:00:00,2404,21,5,2014,Monday
True,292.58,0.0,0.0,1,Clear,sky is clear,2018-07-07 01:00:00,689,1,7,2018,Saturday
True,296.12,0.0,0.0,75,Clouds,broken clouds,2015-10-10 16:00:00,3060,16,10,2015,Saturday
True,270.46,0.0,0.0,1,Clear,sky is clear,2017-04-07 06:00:00,5386,6,4,2017,Friday
True,285.97,0.0,0.0,40,Clouds,scattered clouds,2015-08-24 05:00:00,2824,5,8,2015,Monday
True,291.15,0.0,0.0,1,Mist,mist,2018-08-18 02:00:00,598,2,8,2018,Saturday
True,274.28,0.0,0.0,1,Clear,sky is clear,2018-01-22 02:00:00,254,2,1,2018,Monday
True,295.12,0.0,0.0,40,Clouds,scattered clouds,2014-05-18 14:00:00,4914,14,5,2014,Sunday
True,280.87,0.0,0.0,1,Clear,sky is clear,2017-04-30 01:00:00,869,1,4,2017,Sunday
True,271.83,0.0,0.0,40,Clouds,scattered clouds,2016-01-05 13:00:00,4708,13,1,2016,Tuesday
True,280.84,0.0,0.0,90,Clouds,overcast clouds,2017-04-30 16:00:00,4380,16,4,2017,Sunday
True,267.15,0.0,0.0,1,Clear,sky is clear,2017-12-20 03:00:00,379,3,12,2017,Wednesday
True,274.88,0.0,0.0,90,Drizzle,light intensity drizzle,2015-12-16 16:00:00,6450,16,12,2015,Wednesday
True,291.35,0.0,0.0,40,Thunderstorm,thunderstorm with heavy rain,2017-07-01 00:00:00,1320,0,7,2017,Saturday
True,264.21,0.0,0.0,40,Haze,haze,2018-04-06 10:00:00,4748,10,4,2018,Friday
True,299.35,0.0,0.0,1,Clear,sky is clear,2018-07-07 13:00:00,4118,13,7,2018,Saturday
True,272.68,0.0,0.0,90,Clouds,overcast clouds,2017-02-06 17:00:00,6000,17,2,2017,Monday
True,296.83,0.0,0.0,32,Clouds,scattered clouds,2013-07-19 06:00:00,5943,6,7,2013,Friday
True,276.68,0.0,0.0,64,Clouds,broken clouds,2013-11-13 23:00:00,1139,23,11,2013,Wednesday
True,292.98,0.0,0.0,12,Clouds,few clouds,2016-08-08 08:00:00,5366,8,8,2016,Monday
True,295.0,0.0,0.0,0,Clear,Sky is Clear,2013-06-29 01:00:00,779,1,6,2013,Saturday
True,281.15,0.0,0.0,90,Clouds,overcast clouds,2015-11-01 03:00:00,314,3,11,2015,Sunday
True,265.25,0.0,0.0,75,Clouds,broken clouds,2012-11-28 05:00:00,2638,5,11,2012,Wednesday
True,289.45,3.05,0.0,36,Rain,moderate rain,2016-06-09 01:00:00,427,1,6,2016,Thursday
True,288.42,0.0,0.0,40,Mist,mist,2017-08-06 01:00:00,1151,1,8,2017,Sunday
True,291.16,0.0,0.0,1,Mist,mist,2013-05-21 00:00:00,659,0,5,2013,Tuesday
True,303.83,0.0,0.0,1,Clear,sky is clear,2013-05-15 20:00:00,3147,20,5,2013,Wednesday
True,302.36,0.0,0.0,0,Clear,Sky is Clear,2013-06-28 14:00:00,6112,14,6,2013,Friday
True,268.69,0.0,0.0,40,Clouds,scattered clouds,2013-03-13 22:00:00,1753,22,3,2013,Wednesday
True,302.07,0.0,0.0,40,Clouds,scattered clouds,2018-05-07 16:00:00,6663,16,5,2018,Monday
True,272.99,0.0,0.0,1,Clear,sky is clear,2012-10-31 01:00:00,346,1,10,2012,Wednesday
True,252.14,0.0,0.0,5,Clear,sky is clear,2017-12-26 11:00:00,3983,11,12,2017,Tuesday
True,274.22,0.0,0.0,90,Haze,haze,2016-12-24 11:00:00,3530,11,12,2016,Saturday
True,300.29,0.0,0.0,40,Clouds,scattered clouds,2017-06-09 14:00:00,5233,14,6,2017,Friday
True,274.62,0.0,0.0,75,Clouds,broken clouds,2016-12-21 10:00:00,4859,10,12,2016,Wednesday
True,290.24,0.0,0.0,1,Clear,sky is clear,2014-06-03 23:00:00,1241,23,6,2014,Tuesday
True,287.06,0.3,0.0,1,Mist,mist,2015-08-05 06:00:00,5713,6,8,2015,Wednesday
True,280.71,0.0,0.0,90,Clouds,overcast clouds,2014-03-31 08:00:00,5535,8,3,2014,Monday
True,269.82,0.0,0.0,90,Haze,haze,2017-02-24 13:00:00,4825,13,2,2017,Friday
True,291.88,0.0,0.0,5,Clear,sky is clear,2018-07-24 08:00:00,5658,8,7,2018,Tuesday
True,269.51,0.0,0.0,40,Clouds,scattered clouds,2017-11-09 04:00:00,877,4,11,2017,Thursday
True,278.58,0.0,0.0,1,Clear,sky is clear,2013-04-07 10:00:00,3298,10,4,2013,Sunday
True,296.82,0.0,0.0,1,Clear,sky is clear,2017-09-15 00:00:00,755,0,9,2017,Friday
True,287.95,0.0,0.0,1,Clear,sky is clear,2016-09-01 08:00:00,5447,8,9,2016,Thursday
True,260.62,0.0,0.0,90,Clouds,overcast clouds,2013-01-02 13:00:00,4370,13,1,2013,Wednesday
True,264.41,0.0,0.0,90,Snow,light snow,2016-02-11 18:00:00,4817,18,2,2016,Thursday
True,262.01,0.0,0.0,1,Clear,sky is clear,2018-04-07 08:00:00,3074,8,4,2018,Saturday
True,286.69,0.0,0.0,75,Rain,heavy intensity rain,2017-09-04 18:00:00,3583,18,9,2017,Monday
True,286.5,0.0,0.0,1,Clear,sky is clear,2013-09-14 08:00:00,3407,8,9,2013,Saturday
True,292.35,0.0,0.0,75,Mist,mist,2017-07-10 05:00:00,2862,5,7,2017,Monday
True,257.11,0.0,0.0,75,Clouds,broken clouds,2014-02-25 00:00:00,471,0,2,2014,Tuesday
True,296.15,0.0,0.0,75,Clouds,broken clouds,2017-06-20 19:00:00,3363,19,6,2017,Tuesday
True,302.1,1.78,0.0,40,Rain,moderate rain,2018-08-26 17:00:00,3998,17,8,2018,Sunday
True,276.81,0.0,0.0,5,Clear,sky is clear,2018-03-12 16:00:00,6655,16,3,2018,Monday
True,293.61,0.0,0.0,64,Clouds,broken clouds,2016-08-09 02:00:00,440,2,8,2016,Tuesday
True,291.65,0.0,0.0,0,Clear,Sky is Clear,2016-06-13 23:00:00,1284,23,6,2016,Monday
True,289.36,0.0,0.0,0,Clear,Sky is Clear,2013-06-18 04:00:00,834,4,6,2013,Tuesday
True,295.36,0.0,0.0,40,Clouds,scattered clouds,2016-04-18 11:00:00,4692,11,4,2016,Monday
True,297.82,0.0,0.0,1,Clear,sky is clear,2017-09-23 05:00:00,858,5,9,2017,Saturday
True,290.95,0.0,0.0,1,Haze,haze,2017-05-11 20:00:00,3423,20,5,2017,Thursday
True,273.67,0.0,0.0,90,Snow,heavy snow,2012-12-16 22:00:00,1476,22,12,2012,Sunday
True,285.59,0.0,0.0,90,Mist,mist,2015-10-08 17:00:00,6032,17,10,2015,Thursday
True,273.08,0.0,0.0,90,Mist,mist,2013-04-24 01:00:00,362,1,4,2013,Wednesday
True,281.48,0.0,0.0,1,Clear,sky is clear,2014-05-22 05:00:00,2944,5,5,2014,Thursday
True,260.66,0.0,0.0,1,Clear,sky is clear,2013-03-22 01:00:00,435,1,3,2013,Friday
True,276.15,0.0,0.0,90,Rain,light rain,2018-03-04 04:00:00,299,4,3,2018,Sunday
True,288.3,0.0,0.0,90,Mist,mist,2017-09-25 11:00:00,4596,11,9,2017,Monday
True,292.24,0.0,0.0,90,Clouds,overcast clouds,2015-07-17 01:00:00,492,1,7,2015,Friday
True,286.29,0.0,0.0,90,Rain,moderate rain,2017-09-18 16:00:00,6430,16,9,2017,Monday
True,292.87,0.0,0.0,40,Clouds,scattered clouds,2017-07-23 05:00:00,500,5,7,2017,Sunday
True,289.41,0.0,0.0,75,Clouds,broken clouds,2017-06-18 08:00:00,1868,8,6,2017,Sunday
True,289.53,0.0,0.0,92,Clouds,overcast clouds,2016-09-21 09:00:00,5086,9,9,2016,Wednesday
True,257.02,0.0,0.0,90,Clouds,overcast clouds,2014-02-05 13:00:00,4679,13,2,2014,Wednesday
True,298.15,0.0,0.0,75,Clouds,broken clouds,2017-09-19 15:00:00,5823,15,9,2017,Tuesday
True,289.42,0.0,0.0,90,Rain,moderate rain,2017-09-05 17:00:00,6092,17,9,2017,Tuesday
True,256.09,0.0,0.0,1,Clear,sky is clear,2017-01-06 19:00:00,3368,19,1,2017,Friday
True,284.27,0.25,0.0,75,Mist,mist,2014-05-08 07:00:00,6108,7,5,2014,Thursday
True,299.34,0.0,0.0,1,Clear,sky is clear,2015-08-30 15:00:00,4849,15,8,2015,Sunday
True,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030,12,10,2012,Wednesday
True,298.07,0.0,0.0,8,Clear,sky is clear,2016-08-18 14:00:00,4725,14,8,2016,Thursday
True,281.4,0.0,0.0,90,Fog,fog,2017-04-03 05:00:00,2593,5,4,2017,Monday
True,252.45,0.0,0.0,1,Clear,sky is clear,2018-01-12 03:00:00,353,3,1,2018,Friday
True,272.33,0.0,0.0,64,Snow,light snow,2014-01-16 02:00:00,271,2,1,2014,Thursday
True,292.089,0.0,0.0,8,Clear,sky is clear,2016-10-14 17:00:00,5308,17,10,2016,Friday
True,276.29,0.0,0.0,75,Clouds,broken clouds,2014-02-19 14:00:00,5308,14,2,2014,Wednesday
True,300.01,0.0,0.0,75,Rain,light rain,2015-09-06 13:00:00,4579,13,9,2015,Sunday
True,290.86,0.0,0.0,1,Clear,sky is clear,2015-07-02 22:00:00,2525,22,7,2015,Thursday
True,281.68,0.0,0.0,90,Rain,heavy intensity rain,2017-05-20 22:00:00,3062,22,5,2017,Saturday
True,259.37,0.0,0.0,64,Snow,light snow,2013-12-08 11:00:00,2820,11,12,2013,Sunday
True,305.37,0.0,0.0,8,Clear,sky is clear,2013-07-17 15:00:00,5809,15,7,2013,Wednesday
True,283.99,0.0,0.0,76,Clouds,broken clouds,2013-07-29 04:00:00,846,4,7,2013,Monday
True,295.96,0.0,0.0,1,Haze,haze,2015-08-31 23:00:00,1122,23,8,2015,Monday
True,284.95,0.0,0.0,1,Clear,sky is clear,2017-10-22 00:00:00,1425,0,10,2017,Sunday
True,295.23,0.0,0.0,90,Clouds,overcast clouds,2017-08-17 18:00:00,4751,18,8,2017,Thursday
True,293.99,0.0,0.0,0,Clear,Sky is Clear,2013-08-20 00:00:00,659,0,8,2013,Tuesday
True,289.35,0.0,0.0,1,Clear,sky is clear,2017-06-09 05:00:00,2798,5,6,2017,Friday
True,268.55,0.0,0.0,1,Mist,mist,2018-02-28 03:00:00,378,3,2,2018,Wednesday
True,285.02,0.0,0.0,1,Clear,sky is clear,2016-11-12 16:00:00,4321,16,11,2016,Saturday
True,272.5,0.0,0.0,90,Mist,mist,2018-03-11 06:00:00,740,6,3,2018,Sunday
